,CODIGO OW,DESCRIPCION,ALMACEN,SALDO EN INVENTARIO
163109,4159,CONECT.COMPRESION DBH-2,C300,0.0
163110,4214,BORNA TERM.BIMET.UN OJO 6 AWG.,C300,0.0
163111,4160,CONECTOR COMP H 1/0-1/0AWG,C300,0.0
163112,4164,CONECTOR COMP H 3-1/0-2-6AWG,C300,0.0
163113,211392,"ESPARRAGO 5/8"" X 12""",C300,0.0
163114,211377,"HEBILLA ACERO INOXIDABLE 5/8""",C300,0.0
163115,4869,"CINTA ACERO INOXIDABLE DE 5/8""",C300,0.0
163116,4208,TERMINAL TIPO OJO 8 AWG.,C300,0.0
163117,4213,BORNA TERMINAL BIMETALICA 4AWG,C300,0.0
163118,4267,BORNA TERM.AL.DOBLE OJO 2/0,C300,0.0
163119,4270,BORNA TERMINA COMPRI 2/0AWG 2H,C300,0.0
163120,4220,CONECT.CUÑA TIPO C.,C300,0.0
163121,4178,CONECT.CUÑA CU.2-3/0 A 2-6 AWG,C300,0.0
163122,4264,BORNA TERM.CU.UN OJO 2/0 AWG.,C300,0.0
163123,4221,CONECTOR CUÑA TIPO B,C300,0.0
163124,4178,CONECT.CUÑA CU.2-3/0 A 2-6 AWG,C300,0.0
163125,4125,CORTACIRCUITO 200A 15 kV 12 kA,C300,0.0
163126,4142,"COLLARIN 7""A8""(178-203mm) 2S",C300,0.0
163127,4226,CONECTOR CUÑA TGC 5/8PG,C300,0.0
163128,4227,CONECTOR CUÑA TGC 5/8PG,C300,0.0
163129,4366,GRAPA RETENCION 1/0-336.4 MCM,C300,0.0
163130,4371,GRAPA TIPO PIST 4/0-336.4kcm,C300,0.0
163131,4417,DPS POLIMERICO 12 kV-10kA,C300,0.0
163132,4140,"COLLARIN 5""A6""(127-152mm) 2S",C300,0.0
163133,4187,CONECT.CUÑA TIPO J.,C300,0.0
163134,4125,CORTACIRCUITO 200A 15 kV 12 kA,C300,0.0
163135,4140,"COLLARIN 5""A6""(127-152mm) 2S",C300,0.0
163136,4227,CONECTOR CUÑA TGC 5/8PG,C300,0.0
163137,4423,"DPS POLIMERICO 30kV,10kA",C300,0.0
163138,4131,CAPUCHON CABLE 2 AWG.,C300,0.0
163139,4132,CAPUCHON CABLE 2/0 AWG.,C300,0.0
163140,4139,"COLLARIN 4""A5""(102-127mm) 2S",C300,0.0
163141,4128,CAMARA APAGACHISPAS 200 AMP.,C300,0.0
163142,4145,"COLLARIN 8""A9""(203-229mm) 1S",C300,0.0
163143,4101,"TUERCA DE OJO REDONDA 5/8""",C300,0.0
163144,4397,HERRAJE EN GUITARRA,C300,0.0
163145,5026,CIERRE ACERO INOXIDABLE 5/8PG,C300,0.0
163146,4067,"AISLADOR SUSPENSION 6""",C300,0.0
163147,4397,HERRAJE EN GUITARRA,C300,0.0
163148,4046,"AISLADOR YOYO 3""",C300,0.0
163149,4067,"AISLADOR SUSPENSION 6""",C300,0.0
163150,4046,"AISLADOR YOYO 3""",C300,0.0
163151,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163152,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163153,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163154,4046,"AISLADOR YOYO 3""",C300,0.0
163155,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163156,4417,DPS POLIMERICO 12 kV-10kA,C300,0.0
163157,4046,"AISLADOR YOYO 3""",C300,0.0
163158,4071,"AISLADOR TENSOR 4 1/4""",C300,0.0
163159,4072,"AISLADOR TENSOR 3 1/2""",C300,0.0
163160,4140,"COLLARIN 5""A6""(127-152mm) 2S",C300,0.0
163161,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163162,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163163,3832,CABLE Cu AISLADO 6AWG,C300,0.0
163164,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163165,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163166,4071,"AISLADOR TENSOR 4 1/4""",C300,0.0
163167,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163168,4114,SECCIONADOR MONOPOLAR 630A15kV,C300,0.0
163169,4114,SECCIONADOR MONOPOLAR 630A15kV,C300,0.0
163170,4051,AISLADOR PIN POLIMERICO 15 KV.,C300,0.0
163171,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163172,8389,AISLADOR POLIET(HDPE) PIN 15kV,C300,0.0
163173,4046,"AISLADOR YOYO 3""",C300,0.0
163174,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163175,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163176,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163177,4051,AISLADOR PIN POLIMERICO 15 KV.,C300,0.0
163178,8389,AISLADOR POLIET(HDPE) PIN 15kV,C300,0.0
163179,2829,"UNION 3/4"" EMT",C300,0.0
163180,2913,"CURVA 1"" IMC",C300,0.0
163181,2881,"ABRAZADERA DE 1/2""",C300,0.0
163182,2884,"ABRAZADERA DE 1""",C300,0.0
163183,2837,"UNION 3"" IMC",C300,0.0
163184,2913,"CURVA 1"" IMC",C300,0.0
163185,2942,"ADAPTADOR TERMINAL 3/4"" EMT",C300,0.0
163186,2882,ABRAZADERA TIPO UÑA 1/2PG,C300,0.0
163187,2905,"CURVA 3/4"" EMT",C300,0.0
163188,2893,"CAPACETE 3/4"" GALV.",C300,0.0
163189,2883,ABRAZADERA TIPO OMEGA 3/8PG,C300,0.0
163190,2881,"ABRAZADERA DE 1/2""",C300,0.0
163191,1685,"ESPARRAGO 5/8"" X 6""",C300,0.0
163192,1660,"TORNILLO O PERNO 1/2"" X 1 1/2""",C300,0.0
163193,1661,"TORNILLO O PERNO 1/2"" X 2""",C300,0.0
163194,211419,"TORNILLO MAQUINA 1/2"" X 2""",C300,0.0
163195,1655,TORNILLO GOLOSO 1.1/4PGX1/8PG,C300,0.0
163196,1666,"TORNILLO O PERNO 1/2"" X 6""",C300,0.0
163197,1664,"TORNILLO O PERNO 1/2"" X 4""",C300,0.0
163198,1668,"TORNILLO O PERNO 5/8"" X 1 1/2""",C300,0.0
163199,1669,"TORNILLO O PERNO 5/8"" X 2""",C300,0.0
163200,1667,"TORNILLO O PERNO 1/2"" X 8""",C300,0.0
163201,4096,AMORTIGUADOR VIBRACION 1/0 AWG,C300,0.0
163202,1672,"TORNILLO O PERNO 5/8"" X 4""",C300,0.0
163203,1675,"TORNILLO O PERNO 5/8"" X 10""",C300,0.0
163204,1684,"ESPARRAGO 5/8"" X 4""",C300,0.0
163205,1674,"TORNILLO O PERNO 5/8"" X 8""",C300,0.0
163206,1689,"ESPARRAGO 5/8"" X 14""",C300,0.0
163207,4170,CONECTOR DE PERFORACION,C300,0.0
163208,4168,CONECTOR DE PERFORACION,C300,0.0
163209,1676,"TORNILLO O PERNO 5/8"" X 12""",C300,0.0
163210,1886,"ARANDELA REDONDA 3/8""",C300,0.0
163211,1887,"ARANDELA REDONDA 1/2""",C300,0.0
163212,4171,CONECTOR PER AISL 4-2/0 AWG,C300,0.0
163213,4170,CONECTOR DE PERFORACION,C300,0.0
163214,1686,"ESPARRAGO 5/8"" X 8""",C300,0.0
163215,1882,"ARANDELA CUADRADA 11/16""",C300,0.0
163216,1888,"ARANDELA REDONDA 5/8""",C300,0.0
163217,1895,"ARANDELA DE PRESIÓN 5/8""",C300,0.0
163218,7054,TRANSF. 1F 10 KVA 13.2 KV,C300,0.0
163219,4170,CONECTOR DE PERFORACION,C300,0.0
163220,1687,"ESPARRAGO 5/8"" X 10""",C300,0.0
163221,1893,"ARANDELA DE PRESION 3/8""",C300,0.0
163222,1894,"ARANDELA DE PRESIÓN 1/2""",C300,0.0
163223,1677,"TORNILLO O PERNO 5/8"" X 14""",C300,0.0
163224,1644,"TORN. GOLOSO 1"" X 8 MM",C300,0.0
163225,1893,"ARANDELA DE PRESION 3/8""",C300,0.0
163226,5276,"TUERCA 5/8"" GALV.",C300,0.0
163227,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163228,4417,DPS POLIMERICO 12 kV-10kA,C300,0.0
163229,4170,CONECTOR DE PERFORACION,C300,0.0
163230,1675,"TORNILLO O PERNO 5/8"" X 10""",C300,0.0
163231,1688,"ESPARRAGO 5/8"" X 12""",C300,0.0
163232,4146,"COLLARIN 5""A6""(127-152mm) 1S",C300,0.0
163233,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163234,1675,"TORNILLO O PERNO 5/8"" X 10""",C300,0.0
163235,4144,"COLLARIN 4""A5""(102-127mm) 1S",C300,0.0
163236,4403,PERCHAS TRES PUESTOS,C300,0.0
163237,4396,GUARDACABO  5/8PG,C300,0.0
163238,211402,"GUARDACABO 5/8""",C300,0.0
163239,4547,GRAPA PREFORMADA 2AWG 15kV,C300,0.0
163240,4141,"COLLARIN 6""A7""(152-178mm) 2S",C300,0.0
163241,4417,DPS POLIMERICO 12 kV-10kA,C300,0.0
163242,4141,"COLLARIN 6""A7""(152-178mm) 2S",C300,0.0
163243,4145,"COLLARIN 8""A9""(203-229mm) 1S",C300,0.0
163244,4135,"COLLARIN 7""A8""(178-203mm) 1S",C300,0.0
163245,210883,DPS POLIMERICO 30KV 10KA,C300,0.0
163246,4066,AISLADOR POLIM CLEVIS 35kV,C300,0.0
163247,4070,"AISLADOR TENSOR 6 3/4""",C300,0.0
163248,4054,"AISLADOR TIPO POSTE 12"" 34.5kV",C300,0.0
163249,4052,AISLADOR PIN POLIMERICO 35 KV.,C300,0.0
163250,1670,"TORNILLO O PERNO 5/8"" X 2.1/2""",C300,0.0
163251,4072,"AISLADOR TENSOR 3 1/2""",C300,0.0
163252,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163253,8388,BRAZO ANTIBALANCEO,C300,0.0
163254,4170,CONECTOR DE PERFORACION,C300,0.0
163255,4861,CINTA AISLANTE DE CAUCHO PARA,C300,0.0
163256,4862,CINTA AISLANTE SCOTCH 23,C300,0.0
163257,4872,CINTA AISLANT VINILO 600V 19MM,C300,0.0
163258,4863,CINTA AISLANTE 600V 19mm,C300,0.0
163259,4859,CINTA AISLANTE 600V 19mm,C300,0.0
163260,4417,DPS POLIMERICO 12 kV-10kA,C300,0.0
163261,4145,"COLLARIN 8""A9""(203-229mm) 1S",C300,0.0
163262,4137,"COLLARIN 8""A9""(203-229mm) 2S",C300,0.0
163263,4137,"COLLARIN 8""A9""(203-229mm) 2S",C300,0.0
163264,4893,FOTOCELDA ALUMBRADO PUBLICO,C300,0.0
163265,4137,"COLLARIN 8""A9""(203-229mm) 2S",C300,0.0
163266,4171,CONECTOR PER AISL 4-2/0 AWG,C300,0.0
163267,4417,DPS POLIMERICO 12 kV-10kA,C300,0.0
163268,4143,"COLLARIN 6""A7""(152-178mm) 1S",C300,0.0
163269,4170,CONECTOR DE PERFORACION,C300,0.0
163270,4417,DPS POLIMERICO 12 kV-10kA,C300,0.0
163271,4072,"AISLADOR TENSOR 3 1/2""",C300,0.0
163272,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163273,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163274,4557,ESPACIADOR PARA CABLE CUBIERTO,C300,0.0
163275,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163276,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163277,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163278,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163279,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163280,4051,AISLADOR PIN POLIMERICO 15 KV.,C300,0.0
163281,8389,AISLADOR POLIET(HDPE) PIN 15kV,C300,0.0
163282,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163283,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163284,5026,CIERRE ACERO INOXIDABLE 5/8PG,C300,0.0
163285,4051,AISLADOR PIN POLIMERICO 15 KV.,C300,0.0
163286,8389,AISLADOR POLIET(HDPE) PIN 15kV,C300,0.0
163287,4352,BARRAJE FIJO 3 VIAS 600 AMP.,C300,0.0
163288,1674,"TORNILLO O PERNO 5/8"" X 8""",C300,0.0
163289,1676,"TORNILLO O PERNO 5/8"" X 12""",C300,0.0
163290,3038,TUBERIA PVC TDP 3PG,C300,0.0
163291,3853,TPLEX 2X1/0AWG+1X123.3 KCMIL,C300,0.0
163292,4051,AISLADOR PIN POLIMERICO 15 KV.,C300,0.0
163293,4143,"COLLARIN 6""A7""(152-178mm) 1S",C300,0.0
163294,4396,GUARDACABO  5/8PG,C300,0.0
163295,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163296,4428,"ESPIGO 5/8""X7 1/2"" AISL PIN",C300,0.0
163297,4545,ESPACIADOR 15kV 10kA,C300,0.0
163298,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163299,4547,GRAPA PREFORMADA 2AWG 15kV,C300,0.0
163300,4548,GRAPA PREFORMADA 2/0AWG 15kV,C300,0.0
163301,4552,BRAZO ANGULAR TIPO C 15kV,C300,0.0
163302,4553,ESTRIBO CALIBRE 2 A 2/0AWG,C300,0.0
163303,213355,GRAPA PREFORMADA 2AWG 15KV,C300,0.0
163304,4344,ENCOGIBLE EN FRIO EXTERIOR,C300,0.0
163305,4317,EMPALME PREMOLDEADO 4/0 AWG.,C300,0.0
163306,4854,CAJA DERIVACIÓN 3F 4 SALIDAS,C300,0.0
163307,4353,BARRAJE PREMOLDEADO 500 AMP.,C300,0.0
163308,4114,SECCIONADOR MONOPOLAR 630A15kV,C300,0.0
163309,4296,EMPALME PREMOLDEADO 200 AMP.,C300,0.0
163310,4475,ENCOGIBLE EN FRIO INTERIOR,C300,0.0
163311,4852,CAJA DERIVACIÓN 1F 8 SALIDAS,C300,0.0
163312,4333,TAPON PROTECTOR AISLADO,C300,0.0
163313,4471,TERMINAL PREMOLDEADO EXTERIOR,C300,0.0
163314,4468,ENCOGIBLE EN FRIO EXTERIOR,C300,0.0
163315,4471,TERMINAL PREMOLDEADO EXTERIOR,C300,0.0
163316,4851,CAJA PORTABORNERA,C300,0.0
163317,4149,CONECT.VASTAGO BIMET. 2/0 AWG.,C300,0.0
163318,4147,CONECT.VASTAGO BIMET. 4/0 AWG.,C300,0.0
163319,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163320,4449,JUEGO PARA SELLADO DE DUCTOS,C300,0.0
163321,4331,BARRAJE ESCUALIZABLE 4 VIAS,C300,0.0
163322,4134,CODO PREMOLDEADO 200A-15kV OSC,C300,0.0
163323,4851,CAJA PORTABORNERA,C300,0.0
163324,211620,CAJA DERIVACION ACOMETIDA 2F,C300,0.0
163325,5072,SELLO PARA CAJA HERMETICA,C300,0.0
163326,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163327,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163328,4548,GRAPA PREFORMADA 2/0AWG 15kV,C300,0.0
163329,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163330,4552,BRAZO ANGULAR TIPO C 15kV,C300,0.0
163331,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163332,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163333,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163334,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163335,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163336,4046,"AISLADOR YOYO 3""",C300,0.0
163337,4395,GUARDACABO ½PG,C300,0.0
163338,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163339,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163340,4524,"ABRAZADERA EN U. DE 5/8""",C300,0.0
163341,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163342,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163343,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163344,4522,"ABRAZADERA EN U. DE 5/8""",C300,0.0
163345,4525,"ABRAZADERA EN U. DE 5/8""",C300,0.0
163346,4046,"AISLADOR YOYO 3""",C300,0.0
163347,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163348,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163349,4046,"AISLADOR YOYO 3""",C300,0.0
163350,4555,BRAZO ANGULAR TIPO C 38kV,C300,0.0
163351,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163352,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163353,4552,BRAZO ANGULAR TIPO C 15kV,C300,0.0
163354,4555,BRAZO ANGULAR TIPO C 38kV,C300,0.0
163355,4556,BRAZO TANGENTE TIPO L 38kV,C300,0.0
163356,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163357,4533,"VARILLA ANCLAJE 1/2"" X 1.5 M.",C300,0.0
163358,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163359,4124,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163360,4046,"AISLADOR YOYO 3""",C300,0.0
163361,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163362,4051,AISLADOR PIN POLIMERICO 15 KV.,C300,0.0
163363,8389,AISLADOR POLIET(HDPE) PIN 15kV,C300,0.0
163364,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163365,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163366,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163367,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163368,4124,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163369,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163370,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163371,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163372,6692,CAJA MEDIDOR MONOFASI 240/120V,C300,0.0
163373,4135,"COLLARIN 7""A8""(178-203mm) 1S",C300,0.0
163374,4522,"ABRAZADERA EN U. DE 5/8""",C300,0.0
163375,4524,"ABRAZADERA EN U. DE 5/8""",C300,0.0
163376,4842,CAJA HERME.3F POLICARBONATO,C300,0.0
163377,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163378,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163379,1894,"ARANDELA DE PRESIÓN 1/2""",C300,0.0
163380,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163381,4142,"COLLARIN 7""A8""(178-203mm) 2S",C300,0.0
163382,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163383,4425,"DIAGONAL EN V 42""",C300,0.0
163384,4855,CAJA DERIVACIÓN 3F 8 SALIDAS,C300,0.0
163385,4424,"DIAGONAL EN V 48""",C300,0.0
163386,4355,BARRAJE PREMOLDEADO 175 AMP.,C300,0.0
163387,4355,BARRAJE PREMOLDEADO 175 AMP.,C300,0.0
163388,4548,GRAPA PREFORMADA 2/0AWG 15kV,C300,0.0
163389,4358,SOPORTE PARA BARRAJE 4 SALIDAS,C300,0.0
163390,4855,CAJA DERIVACIÓN 3F 8 SALIDAS,C300,0.0
163391,4424,"DIAGONAL EN V 48""",C300,0.0
163392,4186,CONECT.CUÑA TIPO D.,C300,0.0
163393,4358,SOPORTE PARA BARRAJE 4 SALIDAS,C300,0.0
163394,8133,GRAPA PREFORMADA 4/0AWG 15kV,C300,0.0
163395,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163396,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163397,4546,BRAZO TANGENTE TIPO L 15kV,C300,0.0
163398,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163399,4869,"CINTA ACERO INOXIDABLE DE 5/8""",C300,0.0
163400,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163401,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163402,4146,"COLLARIN 5""A6""(127-152mm) 1S",C300,0.0
163403,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163404,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163405,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163406,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163407,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163408,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163409,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163410,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163411,4124,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163412,3849,DPLEX 1X2AWG+1X77.47 KCMIL,C300,0.0
163413,6692,CAJA MEDIDOR MONOFASI 240/120V,C300,0.0
163414,3849,DPLEX 1X2AWG+1X77.47 KCMIL,C300,0.0
163415,4046,"AISLADOR YOYO 3""",C300,0.0
163416,4424,"DIAGONAL EN V 48""",C300,0.0
163417,4114,SECCIONADOR MONOPOLAR 630A15kV,C300,0.0
163418,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163419,4533,"VARILLA ANCLAJE 1/2"" X 1.5 M.",C300,0.0
163420,4046,"AISLADOR YOYO 3""",C300,0.0
163421,4533,"VARILLA ANCLAJE 1/2"" X 1.5 M.",C300,0.0
163422,4533,"VARILLA ANCLAJE 1/2"" X 1.5 M.",C300,0.0
163423,4869,"CINTA ACERO INOXIDABLE DE 5/8""",C300,0.0
163424,6692,CAJA MEDIDOR MONOFASI 240/120V,C300,0.0
163425,7822,"COLLARIN 9""A10""(229-254mm) 2S",C300,0.0
163426,8025,"CONECT.TGC. 5/8"" - 2 - 4 AWG.",C300,0.0
163427,8025,"CONECT.TGC. 5/8"" - 2 - 4 AWG.",C300,0.0
163428,8033,CONECT.CUÑA BIMET.3/0-6 AWG.,C300,0.0
163429,7822,"COLLARIN 9""A10""(229-254mm) 2S",C300,0.0
163430,6692,CAJA MEDIDOR MONOFASI 240/120V,C300,0.0
163431,4547,GRAPA PREFORMADA 2AWG 15kV,C300,0.0
163432,4548,GRAPA PREFORMADA 2/0AWG 15kV,C300,0.0
163433,202255,BRAZO ANGULAR TIPO C,C300,0.0
163434,211319,PERCHA 1 PUESTO,C300,0.0
163435,211303,BRAZO ANGULAR TIPO C,C300,0.0
163436,4119,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163437,10008,TAPA POLIMERICA MEDIANA,C300,0.0
163438,4065,AISLADOR POLIM CLEVIS 15kV,C300,0.0
163439,4050,"AISLADOR PIN 7"" 13.2 kV",C300,0.0
163440,4046,"AISLADOR YOYO 3""",C300,0.0
163441,4533,"VARILLA ANCLAJE 1/2"" X 1.5 M.",C300,0.0
